Date,BTC-USD_Close,BTC-USD_Vol,ETH-USD_Close,ETH-USD_Vol,TRX-USD_Close,TRX-USD_Vol,BNB-USD_Close,BNB-USD_Vol,XRP-USD_Close,XRP-USD_Vol,DOGE-USD_Close,DOGE-USD_Vol,ADA-USD_Close,ADA-USD_Vol,SOL-USD_Close,SOL-USD_Vol,SHIB-USD_Close,SHIB-USD_Vol,LTC-USD_Close,LTC-USD_Vol,LUNA1-USD_Close,LUNA1-USD_Vol,Cashback,Day,weekday,is_weekend,end_of_month,beginning_of_month,is_holiday
2021-09-28,41034.54296875,30214940550,2807.296630859375,16895079070,0.08314500004053116,1284143801,333.0325927734375,1294330921,0.893688976764679,2818990506,0.1968040019273758,866301240,2.0391390323638916,3092923646,131.53721618652344,2422542861,7.000000096013537e-06,229379215,140.5971221923828,2716268316,33.16389083862305,1162571320,1.0,28,1,False,True,False,False
2021-09-29,41564.36328125,30602359905,2853.143310546875,15763456158,0.08594600111246109,1177606321,367.9895935058594,2385693434,0.9283490180969238,3558174320,0.19887599349021912,926737135,2.065687894821167,2869486117,135.35145568847656,2428105040,7.000000096013537e-06,193035725,144.9186248779297,2611872987,34.186187744140625,1141052735,1.0,29,2,False,True,False,False
2021-09-30,43790.89453125,31141681925,3001.678955078125,17661065099,0.08942600339651108,1021905677,387.0573425292969,1796235646,0.9526360034942627,3051316850,0.204244002699852,916819792,2.1144518852233887,2621620164,141.0690460205078,2244376110,7.000000096013537e-06,308553065,153.1479949951172,2490894083,38.6016731262207,1118584914,1.0,30,3,False,True,False,False
2021-10-01,48116.94140625,42850641582,3307.51611328125,22307625573,0.09473200142383575,1244241400,421.6431884765625,2162493378,1.0426239967346191,5125674349,0.22301000356674194,1435469263,2.258126974105835,3235813427,161.682373046875,4387488320,7.999999979801942e-06,316837935,166.1322021484375,3075986940,37.73747634887695,1270901115,1.0,1,4,False,False,True,False
2021-10-02,47711.48828125,30614346492,3391.6943359375,19202671704,0.09362699836492538,1035214700,428.09832763671875,1740937420,1.0386749505996704,3884936924,0.21913300454616547,1166058975,2.2514588832855225,2911039833,169.093017578125,3471658582,7.999999979801942e-06,320232218,169.25892639160156,2954252473,41.47689437866211,1495129308,1.0,2,5,True,False,True,False
2021-10-03,48199.953125,26638115879,3418.358642578125,15516566862,0.09498099982738495,1058942942,430.5088195800781,1470899248,1.0551700592041016,3496121109,0.2217479944229126,1070267896,2.252872943878174,2331706759,172.5891571044922,3149579954,9.000000318337698e-06,627602337,170.60997009277344,3020051826,42.742488861083984,2042994989,1.0,3,6,True,False,True,False
2021-10-04,49112.90234375,33383173002,3380.089111328125,17747154101,0.09350699931383133,1221597030,425.7489013671875,1647171955,1.043004035949707,3164260800,0.2408519983291626,3684051106,2.189234972000122,2249001043,166.73191833496094,3109040100,1.2999999853491317e-05,5113996411,167.54014587402344,2809356425,46.723358154296875,2567463682,1.0,4,0,False,False,True,False
2021-10-05,51514.8125,35873904236,3518.5185546875,16632591670,0.09618300199508667,1803369231,442.7061462402344,1526827785,1.0855029821395874,3251465579,0.25201600790023804,4628329381,2.233124017715454,2090074822,164.11582946777344,2541087419,1.700000029813964e-05,9382762020,173.89108276367188,2779608244,44.70867156982422,1359206096,1.0,5,1,False,False,False,False
2021-10-06,55361.44921875,49034730168,3580.56201171875,21855226591,0.0955210030078888,1713306308,435.4013671875,2006344571,1.0776560306549072,3806090854,0.2551339864730835,4659725421,2.2121551036834717,2719301133,154.1077423095703,3259712887,2.8000000384054147e-05,15233960302,178.70567321777344,3434445937,41.948692321777344,1440155700,1.0,6,2,False,False,False,False
2021-10-07,53805.984375,36807860413,3587.974853515625,19090322927,0.09551399946212769,1627469794,438.7617492675781,1962989705,1.0680259466171265,3192050513,0.24292300641536713,2936116763,2.2769949436187744,3265277489,154.28118896484375,2579187256,2.300000051036477e-05,18731843000,178.771728515625,3653828647,46.54294967651367,1659946039,1.0,7,3,False,False,False,False
2021-10-08,53967.84765625,34800873924,3563.75927734375,16222029488,0.09766999632120132,1430548633,419.10205078125,2678048368,1.0628910064697266,2577289115,0.24385100603103638,1952117191,2.237175941467285,1977478611,158.94920349121094,2781848650,2.700000004551839e-05,12326548369,175.97238159179688,3235639420,43.28617858886719,1288643414,1.0,8,4,False,False,False,False
2021-10-09,54968.22265625,32491211414,3575.716796875,12707036942,0.10287000238895416,1790421869,421.5494689941406,1404867667,1.1599260568618774,4844564004,0.24659599363803864,1484990033,2.2666149139404297,1953066446,156.82583618164062,1522023824,2.700000004551839e-05,6401062357,179.65866088867188,3261336754,42.47336196899414,674240819,1.0,9,5,True,False,False,False
2021-10-10,54771.578125,39527792364,3425.852783203125,16171746693,0.09774799644947052,1221386238,405.0693054199219,1437068558,1.1384530067443848,5165905723,0.22980499267578125,1466060853,2.197213888168335,2036732421,148.0487060546875,1556965341,2.5999999706982635e-05,3597266431,175.31857299804688,2933958270,39.37347412109375,762535836,1.0,10,6,True,False,False,False
2021-10-11,57484.7890625,42637331698,3545.35400390625,18579189588,0.09716200083494186,1100623957,413.4562072753906,1473121389,1.137887954711914,4022773988,0.23150299489498138,1463611233,2.173388957977295,2386202338,144.85813903808594,1851795187,3.099999958067201e-05,7321688785,179.42605590820312,3155773236,39.210147857666016,971250431,1.0,11,0,False,False,False,True
2021-10-12,56041.05859375,41083758949,3492.5732421875,18109578443,0.09550900012254715,1280870343,443.8675231933594,3142304145,1.1018589735031128,3959747373,0.22624200582504272,1881102059,2.119189977645874,3467823586,152.73712158203125,2853992440,2.9000000722589903e-05,4868743619,172.79776000976562,3014739916,37.59783172607422,1196283749,1.0,12,1,False,False,False,False
2021-10-13,57401.09765625,41684252783,3606.20166015625,16211275589,0.09799300134181976,1241862431,470.74969482421875,5149146903,1.128391981124878,3675636699,0.23257200419902802,1457486924,2.1890530586242676,3088601173,148.17604064941406,2105226551,2.9000000722589903e-05,3082220289,177.62832641601562,2648806965,36.61662292480469,975059267,1.0,13,2,False,False,False,False
2021-10-14,57321.5234375,36615791366,3786.01416015625,19443499909,0.0971589982509613,1165003317,472.02239990234375,2486819344,1.132315993309021,3184675623,0.23227299749851227,1337117776,2.170362949371338,2171800205,149.75680541992188,1948101208,2.700000004551839e-05,2727081948,180.11839294433594,2669021002,37.15126037597656,1040303496,1.0,14,3,False,False,False,False
2021-10-15,61593.94921875,51780081801,3862.634765625,20966841512,0.09850399941205978,1591245618,473.70263671875,2804538828,1.1405500173568726,5364938375,0.23378199338912964,1837803539,2.214651107788086,3419909583,162.59620666503906,3970589003,2.499999936844688e-05,4121246428,188.8141326904297,3361284929,36.949493408203125,921371631,1.0,15,4,False,False,False,False
2021-10-16,60892.1796875,34250964237,3830.382080078125,16578095629,0.09869000315666199,1082612429,465.6424560546875,1904086807,1.1350959539413452,3776545069,0.23729200661182404,1541850812,2.177712917327881,2415050040,157.538818359375,1531502795,2.5999999706982635e-05,1871226740,186.18930053710938,2812657145,36.59237289428711,547860557,1.0,16,5,True,False,False,False
2021-10-17,61553.6171875,29032367511,3847.1044921875,15908090346,0.09869000315666199,1170758481,470.62554931640625,1646437501,1.0934679508209229,3227519874,0.23789800703525543,1397143121,2.1569631099700928,2044782419,159.74380493164062,2168838138,2.8000000384054147e-05,2304858857,183.73052978515625,2557228667,36.1889762878418,550171058,1.0,17,6,True,False,False,False
2021-10-18,62026.078125,38055562075,3748.76025390625,17386204158,0.09814000129699707,1157169880,485.11102294921875,1999805026,1.0838420391082764,3186066188,0.2472810000181198,5003365533,2.128262996673584,2594342479,157.2312774658203,1698878759,2.9000000722589903e-05,3919367323,185.55674743652344,2735635061,35.82107925415039,555343720,1.0,18,0,False,False,False,False
2021-10-19,64261.9921875,40471196346,3877.65087890625,15998757133,0.10060899704694748,1326434459,488.14886474609375,1844483840,1.092079997062683,2586014628,0.24578799307346344,1675967829,2.112962007522583,3071082063,156.01702880859375,1400902548,2.8000000384054147e-05,1651861422,188.9398193359375,2468334299,37.733585357666016,640136051,1.0,19,1,False,False,False,False
2021-10-20,65992.8359375,40788955582,4155.9921875,20338319988,0.10306400060653687,1749882996,501.02032470703125,1890415594,1.1423280239105225,3394782025,0.2540929913520813,1853058770,2.1859500408172607,3023618047,175.94686889648438,3315306825,2.9000000722589903e-05,1676016339,206.87078857421875,2998361011,42.55474090576172,1427182894,1.0,20,2,False,False,False,False
2021-10-21,62210.171875,45908121370,4054.32275390625,28220661820,0.09952200204133987,1598864313,471.2569274902344,3081793454,1.0893150568008423,4035726860,0.24239100515842438,1742570934,2.1365909576416016,3967007331,190.3184356689453,6865815461,2.700000004551839e-05,1540610794,196.8691864013672,2819160222,40.9063720703125,1458679342,1.0,21,3,False,False,False,False
2021-10-22,60692.265625,38434082775,3970.181884765625,19432937968,0.09982600063085556,1398644864,478.6431579589844,1962748496,1.0883740186691284,3296407032,0.24422100186347961,1829875043,2.1541988849639893,2785878320,196.43153381347656,7486821306,2.8000000384054147e-05,1297177007,190.82228088378906,2250306566,43.61540222167969,1745307758,1.0,22,4,False,False,False,False
2021-10-23,61393.6171875,26882546034,4171.66357421875,14781537792,0.10074000060558319,1247898652,485.90643310546875,1170864603,1.0944969654083252,2236173913,0.2517330050468445,1502684867,2.1668150424957275,2115938187,197.703857421875,3253670286,3.400000059627928e-05,4703212108,196.30950927734375,1909421304,43.18797302246094,838316867,1.0,23,5,True,False,False,False
2021-10-24,60930.8359375,27316183882,4087.903076171875,14978083638,0.09923399984836578,1212237562,476.63311767578125,1246191889,1.0842829942703247,2240272602,0.2770479917526245,5278760541,2.1234350204467773,2188895748,202.3619842529297,3413057378,3.600000127335079e-05,15337292521,190.9056854248047,1964457059,41.484683990478516,709523190,1.0,24,6,True,False,False,False
2021-10-25,63039.82421875,31064911614,4217.876953125,15995727040,0.1007080003619194,1715400596,484.64508056640625,1337787876,1.0951579809188843,2595663483,0.2647069990634918,3364560707,2.144066095352173,2398064828,210.1042938232422,4837376169,4.199999966658652e-05,8244210217,195.299560546875,2117515772,42.79079818725586,754871874,1.0,25,0,False,False,False,False
2021-10-26,60363.79296875,34878965587,4131.10205078125,17157714562,0.10118900239467621,2887926661,478.0250549316406,1486193826,1.108093023300171,3933349796,0.255731999874115,2513384162,2.138777017593384,2803084142,199.8072509765625,3194205752,4.8000001697801054e-05,11176750625,197.4688720703125,2152699224,43.8663444519043,1258425599,1.0,26,1,False,False,False,False
2021-10-27,58482.38671875,43657076893,3930.25732421875,26219530404,0.0907059982419014,2319437826,449.00799560546875,2340091135,0.9954519867897034,6433932056,0.2376900017261505,5022822846,1.9132369756698608,5058404282,183.77459716796875,4552692842,7.999999797903001e-05,39053846018,179.33412170410156,3305908613,39.873443603515625,1397247761,1.0,27,2,False,False,False,False
